3948.27  0.000110477
5140.71  3.8306e-05
5559.33  5.0497e-05
6012.03  6.6185e-05
6501.6  8.62478e-05
7031.04  0.000111746
7603.59  0.000143948
8222.76  0.000184364
8892.35  0.000234767
9616.47  0.000297229
10399.6  0.000374142
11246.4  0.000468245
12162.2  0.000582639
13152.6  0.000720803
14223.7  0.000886588
15381.9  0.00108421
16634.5  0.00131825
17989.1  0.00159354
19453.9  0.00191521
21038.1  0.00228851
22751.3  0.00271876
24603.9  0.00321124
26607.5  0.00377098
28774.2  0.00440265
31117.3  0.00511035
33651.2  0.00589743
36391.5  0.00676626
39354.9  0.00771801
42559.6  0.00875248
46025.3  0.00986788
49773.2  0.0110606
53826.3  0.0123253
58209.5  0.0136544
62949.6  0.0150384
68075.6  0.0164658
73619.2  0.017923
79614.1  0.0193947
86097.2  0.0208637
93108.2  0.0223118
100690  0.0237195
108890  0.0250668
117757  0.0263335
127346  0.0274996
137716  0.0285462
148930  0.0294553
161057  0.0302109
174173  0.0307992
188356  0.0312092
203694  0.0314327
220281  0.0314649
238219  0.031304
257618  0.0309521
278596  0.0304149
301282  0.0297008
325816  0.0288217
352347  0.0277921
381040  0.026629
412068  0.0253511
445624  0.0239787
481912  0.0225327
521154  0.0210345
563592  0.0195054
609486  0.0179658
659120  0.0164352
712791  0.0149314
770834  0.0134705
833605  0.0120664
901487  0.0107309
974896  0.00947343
1.05428e+06  0.00830111
1.14014e+06  0.00721875
1.23298e+06  0.00622901
1.33338e+06  0.00533258
1.44196e+06  0.00452835
1.55938e+06  0.00381368
1.68636e+06  0.00318464
1.82369e+06  0.00263629
1.97219e+06  0.00216291
2.13279e+06  0.00175825
2.30647e+06  0.00141579
2.49429e+06  0.00112891
2.6974e+06  0.000891097
2.91706e+06  0.000696042
3.1546e+06  0.000537805
3.41148e+06  0.000410879
3.68928e+06  0.000310245
3.9897e+06  0.000231414
4.31459e+06  0.000170426
4.66594e+06  0.000123851
5.04589e+06  8.87589e-05
5.45678e+06  6.26879e-05
5.90114e+06  4.36016e-05
6.38168e+06  2.98422e-05
6.90135e+06  2.00818e-05
7.46333e+06  1.32746e-05
8.07109e+06  8.61115e-06
8.72833e+06  5.47594e-06
9.43909e+06  3.40968e-06
1.02077e+07  2.07628e-06
1.40568e+07  1.99315e-06
